Celex	Celex	NNP
two	two	CD
thirds	third	NNS
of	of	IN
the	the	DT
votes	vote	NNS
cast	cast	VBN
,	,	,
decide	decide	NN
upon	upon	IN
the	the	DT
use	use	NN
of	of	IN
such	such	JJ
other	other	JJ
operational	operational	JJ
methods	method	NNS
of	of	IN
monetary	monetary	JJ
control	control	NN
as	as	IN
it	it	PRP
sees	see	VBZ
fit	fit	JJ
,	,	,
respecting	respect	VBN
Article 2	Article 2	NNP
.	.	.
The	the	DT
Council	Council	NNP
shall	shall	NN
,	,	,
in	in	IN
accordance	accordance	NN
with	with	IN
the	the	DT
procedure	procedure	NN
laid	lay	VBD
down	down	IN
in	in	IN
Article 41	Article 41	NNP
,	,	,
define	define	VBD
the	the	DT
scope	scope	NN
of	of	IN
such	such	JJ
methods	method	NNS
if	if	IN
they	they	PRP
impose	impose	VBP
obligations	obligation	NNS
on	on	IN
third	third	JJ
parties	party	NNS
.	.	.
Article 21	Article 21	CD
Operations	operation	NNS
with	with	IN
public	public	JJ
entities	entity	NNS
1.	@ord@	CD
In	in	IN
accordance	accordance	NN
with	with	IN
Article III-181	Article III-181	CD
of	of	IN
the	the	DT
Constitution	Constitution	NNP
,	,	,
overdrafts	overdraft	VBZ
or	or	CC
any	any	DT
other	other	JJ
type	type	NN
of	of	IN
credit	credit	NN
facility	facility	NN
with	with	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
or	or	CC
with	with	IN
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
in	in	IN
favour	favour	NN
of	of	IN
Union	Union	NNP
institutions	institution	NNS
,	,	,
bodies	body	NNS
,	,	,
offices	office	NNS
or	or	CC
agencies	agency	NNS
,	,	,
central	central	JJ
governments	government	NNS
,	,	,
regional	regional	JJ
,	,	,
local	local	JJ
or	or	CC
other	other	JJ
public	public	JJ
authorities	authority	NNS
,	,	VBP
other	other	JJ
bodies	body	NNS
governed	govern	VBN
by	by	IN
public	public	JJ
law	law	NN
,	,	,
or	or	CC
public	public	JJ
undertakings	undertaking	NNS
of	of	IN
Member	Member	NNP
States	States	NNP
shall	shall	MD
be	be	VB
prohibited	prohibit	VBN
,	,	,
as	as	RB
shall	shall	VBD
the	the	DT
purchase	purchase	NN
directly	directly	RB
from	from	IN
them	them	PRP
by	by	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
or	or	CC
national	national	JJ
central	central	JJ
banks	bank	NNS
of	of	IN
debt	debt	NN
instruments.2	instruments.2	CD
.	.	.
The	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
national	national	JJ
central	central	JJ
banks	bank	NNS
may	may	MD
act	act	VB
as	as	IN
fiscal	fiscal	JJ
agents	agent	NNS
for	for	IN
the	the	DT
entities	entity	NNS
referred	refer	VBD
to	to	NN
in	in	IN
paragraph 1.3	paragraph 1.3	CD
.	.	.
The	the	DT
provisions	provision	NNS
of	of	IN
this	this	DT
Article	Article	NN
shall	shall	MD
not	not	RB
apply	apply	VB
to	to	TO
publicly	publicly	RB
owned	own	VBN
credit	credit	NN
institutions	institution	NNS
which	which	WDT
,	,	VBP
in	in	IN
the	the	DT
context	context	NN
of	of	IN
the	the	DT
supply	supply	NN
of	of	IN
reserves	reserve	NNS
by	by	IN
central	central	JJ
banks	bank	NNS
,	,	,
shall	shall	MD
be	be	VB
given	give	VBN
the	the	DT
same	same	JJ
treatment	treatment	NN
by	by	IN
national	national	JJ
central	central	JJ
banks	bank	NNS
and	and	CC
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
as	as	IN
private	private	JJ
credit	credit	NN
institutions	institution	NNS
.	.	.
Article 22	Article 22	CD
Clearing	clearing	NNP
and	and	CC
payment	payment	NN
systems	system	NNS
The	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
national	national	JJ
central	central	JJ
banks	bank	NNS
may	may	MD
provide	provide	VB
facilities	facility	NNS
,	,	,
and	and	CC
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
may	may	MD
make	make	VB
regulations	regulation	NNS
,	,	,
to	to	TO
ensure	ensure	VB
efficient	efficient	JJ
and	and	CC
sound	sound	JJ
clearing	clearing	NN
and	and	CC
payment	payment	NN
systems	system	NNS
within	within	IN
the	the	DT
Union	Union	NNP
and	and	CC
with	with	IN
other	other	JJ
countries	country	NNS
.	.	.
Article 23	Article 23	CD
External	external	JJ
operations	operation	NNS
The	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
national	national	JJ
central	central	JJ
banks	bank	NNS
may	may	MD
:	:	VB
(	(	(
a	a	NN
)	)	)
establish	establish	NN
relations	relation	NNS
with	with	IN
central	central	JJ
banks	bank	NNS
and	and	CC
financial	financial	JJ
institutions	institution	NNS
in	in	IN
other	other	JJ
countries	country	NNS
and	and	CC
,	,	,
where	where	NNP
appropriate	appropriate	NN
,	,	,
with	with	IN
international	international	JJ
organisations	organization	NNS
;	;	:
(	(	(
b	b	NN
)	)	)
acquire	acquire	NN
and	and	CC
sell	sell	NN
spot	spot	NN
and	and	CC
forward	forward	VB
all	all	DT
types	type	NNS
of	of	IN
foreign	foreign	JJ
exchange	exchange	NN
assets	asset	NNS
and	and	CC
precious	precious	JJ
metals	metal	NNS
;	;	:
the	the	DT
term	term	NN
&amp; amp; amp	&amp; amp; amp	NN
;	;	NN
#x2018	#x2018	CD
;	;	JJ
foreign	foreign	JJ
exchange	exchange	NN
asset	asset	NN
&amp; amp; amp	&amp; amp; amp	NN
;	;	:
#x2019	#x2019	CD
;	;	NN
shall	shall	MD
include	include	VB
securities	security	NNS
and	and	CC
all	all	DT
other	other	JJ
assets	asset	NNS
in	in	IN
the	the	DT
currency	currency	NN
of	of	IN
any	any	DT
country	country	NN
or	or	CC
units	unit	NNS
of	of	IN
account	account	NN
and	and	CC
in	in	IN
whatever	whatever	WDT
form	form	NN
held	hold	NN
;	;	NN
(	(	(
c	c	NN
)	)	)
hold	hold	NN
and	and	CC
manage	manage	VB
the	the	DT
assets	asset	NNS
referred	refer	VBD
to	to	TO
in	in	IN
this	this	DT
Article	article	NN
;	;	NN
(	(	(
d	d	NN
)	)	)
conduct	conduct	VBP
all	all	DT
types	type	NNS
of	of	IN
banking	banking	NN
transactions	transaction	NNS
in	in	IN
relations	relation	NNS
with	with	IN
third countries	third countries	NNS
and	and	CC
international	international	JJ
organisations	organization	NNS
,	,	,
including	include	IN
borrowing	borrowing	NN
and	and	CC
lending	lending	NN
operations	operation	NNS
.	.	.
Article 24	Article 24	CD
Other	other	JJ
operations	operation	NNS
In	in	IN
addition	addition	NN
to	to	TO
operations	operation	NNS
arising	arise	NN
from	from	IN
their	their	PRP$
tasks	task	NNS
,	,	,
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
national	national	JJ
central	central	JJ
banks	bank	NNS
may	may	MD
enter	enter	VB
into	into	IN
operations	operation	NNS
for	for	IN
their	their	PRP$
administrative	administrative	JJ
purposes	purpose	NNS
or	or	CC
for	for	IN
their	their	PRP$
staff	staff	NN
.	.	.
CHAPTER	chapter	NNP
V	V	NNP
PRUDENTIAL	prudential	NNP
SUPERVISION	supervision	NNP
Article 25	Article 25	CD
Prudential	Prudential	NNP
supervision	supervision	NNP
1.	@ord@	CD
The	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
may	may	MD
offer	offer	VB
advice	advice	NN
to	to	NN
and	and	CC
be	be	VB
consulted	consult	VBN
by	by	IN
the	the	DT
Council	Council	NNP
,	,	,
the	the	DT
Commission	Commission	NNP
and	and	CC
the	the	DT
competent	competent	JJ
authorities	authority	NNS
of	of	IN
the	the	DT
Member	Member	NNP
States	States	NNP
on	on	IN
the	the	DT
scope	scope	NN
and	and	CC
implementation	implementation	NN
of	of	IN
legally	legally	RB
binding	bind	JJ
acts	act	NNS
of	of	IN
the	the	DT
Union	Union	NNP
relating	relate	NN
to	to	TO
the	the	DT
prudential	prudential	JJ
supervision	supervision	NN
of	of	IN
credit	credit	NN
institutions	institution	NNS
and	and	CC
to	to	VB
the	the	DT
stability	stability	NN
of	of	IN
the	the	DT
financial	financial	JJ
system.2	system.2	NN
.	.	.
In	in	IN
accordance	accordance	NN
with	with	IN
any	any	DT
European	European	JJ
law	law	NN
adopted	adopt	VBD
under	under	IN
Article III-185(6	Article III-185(6	JJ
)	)	NN
of	of	IN
the	the	DT
Constitution	Constitution	NNP
,	,	,
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
may	may	MD
perform	perform	VB
specific	specific	JJ
tasks	task	NNS
concerning	concern	JJ
policies	policy	NNS
relating	relate	VB
to	to	TO
the	the	DT
prudential	prudential	JJ
supervision	supervision	NN
of	of	IN
credit	credit	NN
institutions	institution	NNS
and	and	CC
other	other	JJ
financial	financial	JJ
institutions	institution	NNS
with	with	IN
the	the	DT
exception	exception	NN
of	of	IN
insurance	insurance	NN
undertakings	undertaking	NNS
.	.	.
CHAPTER	chapter	NNP
VI	VI	NNP
FINANCIAL	financial	NNP
PROVISIONS	provision	NNP
OF	of	NNP
THE	the	NNP
EUROPEAN	European	NNP
SYSTEM	system	NNP
OF	of	NNP
CENTRAL	central	NNP
BANKS	bank	NNP
Article 26	Article 26	CD
Financial	financial	JJ
accounts	account	NNS
1.	@ord@	CD
The	the	DT
financial	financial	JJ
year	year	NN
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
national	national	JJ
central	central	JJ
banks	bank	NNS
shall	shall	MD
begin	begin	VB
on	on	IN
the	the	DT
first	first	JJ
day	day	NN
of	of	IN
January	January	NNP
and	and	CC
end	end	NN
on	on	IN
the	the	DT
last	last	JJ
day	day	NN
of	of	IN
December.2	December.2	NNP
.	.	.
The	the	DT
annual	annual	JJ
accounts	account	NNS
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
shall	shall	MD
be	be	VB
drawn	draw	VBN
up	up	RP
by	by	IN
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
,	,	,
in	in	IN
accordance	accordance	NN
with	with	IN
the	the	DT
principles	principle	NNS
established	establish	VBN
by	by	IN
the	the	DT
Governing	govern	NNP
Council	Council	NNP
.	.	.
The	the	DT
accounts	account	NNS
shall	shall	MD
be	be	VB
approved	approve	VBN
by	by	IN
the	the	DT
Governing	govern	NNP
Council	Council	NNP
and	and	CC
shall	shall	MD
thereafter	thereafter	RB
be	be	VB
published.3	published.3	CD
.	.	.
For	for	IN
analytical	analytic	NN
and	and	CC
operational	operational	JJ
purposes	purpose	NNS
,	,	,
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
shall	shall	MD
draw	draw	VB
up	up	IN
a	a	DT
consolidated	consolidated	JJ
balance	balance	NN
sheet	sheet	NN
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	NNP
Banks	Banks	NNP
,	,	,
comprising	comprise	VBD
those	those	DT
assets	asset	NNS
and	and	CC
liabilities	liability	NNS
of	of	IN
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
that	that	DT
fall	fall	NN
within	within	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	NNP
Banks.4	Banks.4	NNP
.	.	.
For	for	IN
the	the	DT
application	application	NN
of	of	IN
this	this	DT
Article	Article	NN
,	,	,
the	the	DT
Governing	govern	NNP
Council	Council	NNP
shall	shall	MD
establish	establish	VB
the	the	DT
necessary	necessary	JJ
rules	rule	NNS
for	for	IN
standardising	standardize	VBG
the	the	DT
accounting	accounting	NN
and	and	CC
reporting	report	NN
of	of	IN
operations	operation	NNS
undertaken	undertake	VBN
by	by	IN
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
.	.	.
Article 27	Article 27	CD
Auditing	auditing	NNP
1.	@ord@	CD
The	the	DT
accounts	account	NNS
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
national	national	JJ
central	central	JJ
banks	bank	NNS
shall	shall	MD
be	be	VB
audited	audit	VBN
by	by	IN
independent	independent	JJ
external	external	JJ
auditors	auditor	NNS
recommended	recommend	VBN
by	by	IN
the	the	DT
Governing	govern	NNP
Council	Council	NNP
and	and	CC
approved	approve	VBN
by	by	IN
the	the	DT
Council	Council	NNP
.	.	.
The	the	DT
auditors	auditor	NNS
shall	shall	MD
have	have	VB
full	full	JJ
power	power	NN
to	to	TO
examine	examine	VB
all	all	DT
books	book	NNS
and	and	CC
accounts	account	NNS
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
national	national	JJ
central	central	JJ
banks	bank	NNS
and	and	CC
obtain	obtain	VB
full	full	JJ
information	information	NN
about	about	IN
their	their	PRP$
transactions.2	transactions.2	CD
.	.	.
Article III-384	Article III-384	CD
of	of	IN
the	the	DT
Constitution	Constitution	NNP
shall	shall	MD
only	only	RB
apply	apply	VB
to	to	TO
an	an	DT
examination	examination	NN
of	of	IN
the	the	DT
operational	operational	JJ
efficiency	efficiency	NN
of	of	IN
the	the	DT
management	management	NN
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
.	.	.
Article 28	Article 28	CD
Capital	capital	NN
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
1.	@ord@	CD
The	the	DT
capital	capital	NN
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
,	,	,
shall	shall	MD
be	be	VB
5 000	5 000	CD
million	million	CD
euro	euro	NN
.	.	.
The	the	DT
capital	capital	NN
may	may	MD
be	be	VB
increased	increase	VBN
by	by	IN
such	such	JJ
amounts	amount	NNS
as	as	IN
stipulated	stipulate	VBN
by	by	IN
a	a	DT
European	European	JJ
decision	decision	NN
by	by	IN
the	the	DT
Governing	govern	NNP
Council	council	NNP
acting	act	NN
by	by	IN
the	the	DT
qualified	qualified	JJ
majority	majority	NN
provided	provided	VBD
for	for	IN
in	in	IN
Article 10(3	Article 10(3	CD
)	)	)
,	,	,
within	within	IN
the	the	DT
limits	limit	NNS
and	and	CC
under	under	IN
the	the	DT
conditions	condition	NNS
set	set	VBN
by	by	IN
the	the	DT
Council	Council	NNP
under	under	IN
the	the	DT
procedure	procedure	NN
laid	lay	VBD
down	down	IN
in	in	IN
Article 41.2	Article 41.2	CD
.	.	.
The	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
shall	shall	MD
be	be	VB
the	the	DT
sole	sole	JJ
subscribers	subscriber	NN
to	to	NN
and	and	CC
holders	holder	NNS
of	of	IN
the	the	DT
capital	capital	NN
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
.	.	.
The	the	DT
subscription	subscription	NN
of	of	IN
capital	capital	NN
shall	shall	MD
be	be	VB
according	accord	VBG
to	to	TO
the	the	DT
key	key	NN
established	establish	VBN
in	in	IN
accordance	accordance	NN
with	with	IN
Article 29.3	Article 29.3	NNP
.	.	.
The	the	DT
Governing	govern	NNP
Council	Council	NNP
,	,	,
acting	act	NN
by	by	IN
the	the	DT
qualified	qualified	JJ
majority	majority	NN
provided	provided	VBD
for	for	IN
in	in	IN
Article 10(3	Article 10(3	CD
)	)	)
,	,	,
shall	shall	MD
determine	determine	VB
the	the	DT
extent	extent	NN
to	to	TO
which	which	WDT
and	and	VB
the	the	DT
form	form	NN
in	in	IN
which	which	WDT
the	the	DT
capital	capital	NN
shall	shall	MD
be	be	VB
paid	pay	VBN
up.4	up.4	CD
.	.	.
Subject	subject	NNP
to	to	NNP
paragraph 5	paragraph 5	CD
,	,	,
the	the	DT
shares	share	NNS
of	of	IN
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
in	in	IN
the	the	DT
subscribed	subscribe	JJ
capital	capital	NN
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
may	may	MD
not	not	RB
be	be	VB
transferred	transfer	VBN
,	,	,
pledged	pledge	JJ
or	or	CC
attached.5	attached.5	CD
.	.	.
If	if	IN
the	the	DT
key	key	NN
referred	refer	VBD
to	to	NN
in	in	IN
Article 29	Article 29	NNP
is	be	VBZ
adjusted	adjust	VBN
,	,	,
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
shall	shall	MD
transfer	transfer	VB
among	amongst	IN
themselves	themselves	PRP
capital	capital	JJ
shares	share	NNS
to	to	TO
the	the	DT
extent	extent	NN
necessary	necessary	JJ
to	to	TO
ensure	ensure	VB
that	that	IN
the	the	DT
distribution	distribution	NN
of	of	IN
capital	capital	JJ
shares	share	NNS
corresponds	correspond	VBD
to	to	TO
the	the	DT
adjusted	adjusted	JJ
key	key	NN
.	.	.
The	the	DT
Governing	govern	NNP
Council	Council	NNP
shall	shall	MD
determine	determine	VB
the	the	DT
terms	term	NNS
and	and	CC
conditions	condition	NNS
of	of	IN
such	such	JJ
transfers	transfer	NNS
.	.	.
Article 29	Article 29	CD
Key	Key	NN
for	for	IN
capital	capital	NN
subscription	subscription	NN
1.	@ord@	CD
The	the	DT
key	key	NN
for	for	IN
subscription	subscription	NN
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank's	Bank's	NNP
capital	capital	NN
,	,	,
fixed	fix	VBN
for	for	IN
the	the	DT
first	first	JJ
time	time	NN
in 1998	in 1998	CD
when	when	WRB
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	NNP
Banks	Banks	NNP
was	be	VBD
established	establish	VBN
,	,	,
shall	shall	MD
be	be	VB
determined	determine	VBN
by	by	IN
assigning	assign	NN
to	to	TO
each	each	DT
national	national	JJ
central	central	JJ
bank	bank	NN
a	a	DT
weighting	weighting	NN
in	in	IN
this	this	DT
key	key	NN
equal	equal	JJ
to	to	TO
the	the	DT
sum	sum	NN
of	of	IN
:	:	NN
-	-	NN
50 	50 	CD
%	%	NN
of	of	IN
the	the	DT
share	share	NN
of	of	IN
its	its	PRP$
respective	respective	JJ
Member	Member	NNP
State	State	NN
in	in	IN
the	the	DT
population	population	NN
of	of	IN
the	the	DT
Union	Union	NNP
in	in	IN
the	the	DT
penultimate	penultimate	JJ
year	year	NN
preceding	precede	VBG
the	the	DT
establishment	establishment	NN
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	NNP
Banks	Banks	NNP
;	;	NNP
-	-	NN
50 	50 	CD
%	%	NN
of	of	IN
the	the	DT
share	share	NN
of	of	IN
its	its	PRP$
respective	respective	JJ
Member	Member	NNP
State	State	NN
in	in	IN
the	the	DT
Union's	Union's	JJ
gross	gross	JJ
domestic	domestic	JJ
product	product	NN
at	at	IN
market	market	NN
prices	price	NNS
as	as	IN
recorded	record	VBN
in	in	IN
the	the	DT
last	last	JJ
five	five	CD
years	year	NNS
preceding	precede	VBD
the	the	DT
penultimate	penultimate	JJ
year	year	NN
before	before	IN
the	the	DT
establishment	establishment	NN
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	JJ
Banks	Banks	NNS
.	.	.
The	the	DT
percentages	percentage	NNS
shall	shall	MD
be	be	VB
rounded	rounded	VBN
up	up	RB
or	or	CC
down	down	RB
to	to	TO
the	the	VB
nearest	near	JJ
multiple	multiple	NN
of	of	IN
0,0001	@card@	CD
percentage	percentage	NN
points	point	NNS
.	.	.
2.	@ord@	CD
The	the	DT
statistical	statistical	JJ
data	datum	NNS
to	to	TO
be	be	VB
used	use	VBN
for	for	IN
the	the	DT
application	application	NN
of	of	IN
this	this	DT
Article	Article	NN
shall	shall	MD
be	be	VB
provided	provided	VBN
by	by	IN
the	the	DT
Commission	Commission	NNP
in	in	IN
accordance	accordance	NN
with	with	IN
the	the	DT
rules	rule	NNS
laid	lay	VBD
down	down	IN
by	by	IN
the	the	DT
Council	Council	NNP
under	under	IN
the	the	DT
procedure	procedure	NN
provided	provided	VBD
for	for	IN
in	in	IN
Article 41.3	Article 41.3	NNP
.	.	.
The	the	DT
weightings	weighting	NNS
assigned	assign	VBN
to	to	TO
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
shall	shall	MD
be	be	VB
adjusted	adjust	VBN
every	every	DT
five	five	CD
years	year	NNS
after	after	IN
the	the	DT
establishment	establishment	NN
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	JJ
Banks	Banks	NNS
by	by	IN
analogy	analogy	NN
with	with	IN
paragraph 1	paragraph 1	CD
.	.	.
The	the	DT
adjusted	adjusted	JJ
key	key	NN
shall	shall	MD
apply	apply	VB
with	with	IN
effect	effect	NN
from	from	IN
the	the	DT
first	first	JJ
day	day	NN
of	of	IN
the	the	DT
following	follow	JJ
year.4	year.4	CD
.	.	.
The	the	DT
Governing	govern	NNP
Council	Council	NNP
shall	shall	MD
take	take	VB
all	all	DT
other	other	JJ
measures	measure	NNS
necessary	necessary	NN
for	for	IN
the	the	DT
application	application	NN
of	of	IN
this	this	DT
Article	article	NN
.	.	.
Article 30	Article 30	CD
Transfer	transfer	NN
of	of	IN
foreign	foreign	JJ
reserve	reserve	NN
assets	asset	NNS
to	to	TO
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
1.	@ord@	CD
Without	without	IN
prejudice	prejudice	NN
to	to	TO
Article 28	Article 28	NNP
,	,	,
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
shall	shall	MD
be	be	VB
provided	provided	VBN
by	by	IN
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
with	with	IN
foreign	foreign	JJ
reserve	reserve	NN
assets	asset	NNS
,	,	,
other	other	JJ
than	than	IN
Member	Member	NNP
States	States	NNPS
'	'	''
currencies	currency	NNS
,	,	,
euro	euro	JJ
,	,	,
International Monetary	International Monetary	NNP
Fund	Fund	NNP
reserve	reserve	NN
positions	position	NNS
and	and	CC
special	special	JJ
drawing	drawing	NN
rights	right	NNS
,	,	,
up	up	RB
to	to	TO
an	an	DT
amount	amount	NN
equivalent	equivalent	NN
to 50 000 million	to 50 000 million	CD
euro	euro	NN
.	.	.
The	the	DT
Governing	govern	NNP
Council	Council	NNP
shall	shall	MD
decide	decide	VB
upon	upon	IN
the	the	DT
proportion	proportion	NN
to	to	TO
be	be	VB
called	call	VBN
up	up	IN
by	by	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
.	.	.
The	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
shall	shall	MD
have	have	VB
the	the	DT
full	full	JJ
right	right	NN
to	to	TO
hold	hold	VB
and	and	CC
manage	manage	VB
the	the	DT
foreign	foreign	JJ
reserves	reserve	NNS
that	that	WDT
are	be	VBP
transferred	transfer	VBN
to	to	TO
it	it	JJ
and	and	CC
to	to	TO
use	use	VB
them	them	PRP
for	for	IN
the	the	DT
purposes	purpose	NNS
set	set	VBN
out	out	IN
in	in	IN
this	this	DT
Statute.2	Statute.2	NNP
.	.	.
The	the	DT
contributions	contribution	NNS
of	of	IN
each	each	DT
national	national	JJ
central	central	JJ
bank	bank	NN
shall	shall	MD
be	be	VB
